subject_id,copy_number,fusion_fission,mitophagy,heterogeneity,metabolism_>_carbohydrate_metabolism_>_tca_cycle,metabolism_>_metals_and_cofactors_>_copper_metabolism,metabolism_>_metals_and_cofactors_>_fe_s_containing_proteins,mitochondrial_dynamics_and_surveillance,mitochondrial_dynamics_and_surveillance_>_cristae_formation,mitochondrial_dynamics_and_surveillance_>_fission,mitochondrial_dynamics_and_surveillance_>_fusion,mitochondrial_dynamics_and_surveillance_>_organelle_contact_sites,oxphos_>_complex_i_>_ci_subunits,oxphos_>_complex_ii_>_cii_subunits,oxphos_>_complex_iv_>_civ_subunits,oxphos_>_complex_v_>_cv_subunits,oxphos_>_oxphos_subunits,protein_import,signaling_>_calcium_homeostasis_>_calcium_cycle,signaling_>_calcium_homeostasis_>_mitochondrial_permeability_transition_pore,small_molecule_transport,small_molecule_transport_>_slc25a_family,sorting_and_homeostasis_>_protein_homeostasis_>_chaperones,sorting_and_homeostasis_>_protein_import_and_sorting_>_tom,MHI
MS13451QE_Bruno_Lyden_S137025lymph_C,,,,,0.0,0.0,0.0,0.0,0.0,0.0002547909877783258,0.0,0.0,0.0,0.0,0.0,8.376707196758177e-05,8.376707196758177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13451QE_Bruno_Lyden_SNU16gastric_A,,,,,0.000156017878553692,0.0,0.0,0.0,0.0,5.229119792082757e-05,0.0,0.0,0.0,0.000156017878553692,0.0,0.0011465367416626142,0.0013025546202163063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13451QE_Bruno_Lyden_SNU16gastric_B,,,,,0.00012652861655275668,0.0,0.0,0.0,0.0,0.00021187287450340854,0.0,0.0,0.0,0.00012652861655275668,0.0,0.001226506891748681,0.0013530355083014377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13451QE_Bruno_Lyden_SNU16gastric_C,,,,,0.0,0.0,0.0,0.0,0.0,3.562695011741985e-05,0.0,0.0,0.0,0.0,0.0,0.0016036049351719971,0.0016036049351719971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13451QE_Bruno_Lyden_SNU1gastric_A,,,,,0.0014614482664116403,0.000272378769543959,9.43634671916832e-05,0.0,0.0,0.0,0.0,0.0006461298841092481,9.43634671916832e-05,0.0014614482664116403,2.6609147263671298e-05,0.0034781677506770027,0.005060588631543997,0.000646891576995427,0.000272378769543959,0.0006461298841092481,0.0006461298841092481,0.000272378769543959,0.000646891576995427,0.0,0.0
MS13451QE_Bruno_Lyden_SNU1gastric_B,,,,,0.0015182463545790879,6.867543783487197e-05,6.961997140554742e-05,6.0512124588933584e-05,0.0,0.0,0.0,0.0005208589993672472,0.00017525937826188626,0.0015182463545790879,4.352724583543145e-05,0.004587728430910994,0.0063247614095873995,0.0006181752840836401,6.867543783487197e-05,0.0005208589993672472,0.0005208589993672472,6.867543783487197e-05,0.0005576631594947065,6.0512124588933584e-05,0.0
MS13451QE_Bruno_Lyden_SNU1gastric_C,,,,,0.0019121158781909408,0.0002299639983443877,0.0002296964616004591,0.0,0.0,0.0,0.0,0.0006202406551264765,0.00034848303666182496,0.0019121158781909408,2.380816263904323e-05,0.003372384099479519,0.005656791176971329,0.0005903552884387,0.0002299639983443877,0.0006202406551264765,0.0006202406551264765,0.0002299639983443877,0.0005903552884387,0.0,0.0
MS13511QE_Bruno_Lyden_143B_A,,,,,0.0,0.0,0.0,0.0,0.0,2.50190459532987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13512QE_Bruno_Lyden_IMR5_A,,,,,0.0,0.0,0.0,0.0,0.0,5.922723183645199e-05,0.0,0.0,0.0,0.0,0.0,2.9216613257850398e-05,2.9216613257850398e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13512QE_Bruno_Lyden_IMR5_B,,,,,0.0,0.0,0.0,0.0,0.0,4.776858501811267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13512QE_Bruno_Lyden_IMR5_C,,,,,0.0,0.0,0.0,0.0,0.0,3.669910659776693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13512QE_Bruno_Lyden_SKNBe2_A,,,,,0.0,0.0,0.0,0.0,0.0,2.3270376513817448e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13512QE_Bruno_Lyden_SKNBe2_B,,,,,0.0,0.0,0.0,0.0,0.0,2.3822472297848163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13512QE_Bruno_Lyden_SKNBe2_C,,,,,0.0,0.0,0.0,0.0,0.0,1.4192557541920693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13546QE_Bruno_Lyden_1118_A,,,,,3.041938582667977e-05,4.4536287679728585e-05,0.0,0.0,0.0,0.0,0.0,3.061234737620878e-05,0.0,3.041938582667977e-05,0.0,0.00019317610245079701,0.00022359548827747676,5.320912460261226e-05,4.4536287679728585e-05,3.061234737620878e-05,3.061234737620878e-05,4.4536287679728585e-05,5.320912460261226e-05,0.0,0.0
MS13546QE_Bruno_Lyden_H1650_A,,,,,0.0,0.00018590713120988908,0.0,0.0,0.0,0.0,0.0,4.1554369363921355e-05,0.0,0.0,0.0,8.351418580378122e-05,8.351418580378122e-05,0.0,0.00018590713120988908,4.1554369363921355e-05,4.1554369363921355e-05,0.00018590713120988908,0.0,0.0,0.0
MS13546QE_Bruno_Lyden_H1975_A,,,,,6.270030208302641e-06,0.0,0.0,0.0,0.0,3.515712346912835e-06,0.0,2.7261922996619475e-05,0.0,6.270030208302641e-06,0.0,0.0001837105913753945,0.00018998062158369713,0.0,0.0,2.7261922996619475e-05,2.7261922996619475e-05,0.0,0.0,0.0,0.0
MS13546QE_Bruno_Lyden_H292_A,,,,,9.037362354554307e-06,1.443970914868775e-05,0.0,0.0,0.0,1.964344375118252e-06,0.0,3.690665046704289e-05,0.0,9.037362354554307e-06,0.0,2.690747843365049e-05,3.59448407882048e-05,0.0,1.443970914868775e-05,3.690665046704289e-05,3.690665046704289e-05,1.443970914868775e-05,0.0,0.0,0.0
MS13546QE_Bruno_Lyden_Pc9_A,,,,,2.5101327027410847e-05,0.0,0.0,0.0,0.0,1.5472203373108576e-05,0.0,1.7148827949700433e-05,0.0,2.5101327027410847e-05,0.0,0.00011279766537651761,0.00013789899240392844,0.0,0.0,1.7148827949700433e-05,1.7148827949700433e-05,0.0,0.0,0.0,0.0
MS13618QE_Bruno_Lyden_9609,,,,,0.0,0.0,0.0,0.0,0.0,4.849551500391317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13638QE_Bruno_Lyden_SKBr-3,,,,,0.0,0.0,0.0,0.0,0.0,2.6607262108625665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13666QE_Bruno_Lyden_4173,,,,,0.0,0.0,0.0,0.0,0.0,6.111775570812365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS13666QE_Bruno_Lyden_4180,,,,,2.2949648100553547e-05,3.8861789363919884e-05,0.0,0.0,0.0,2.6592495790777572e-05,0.0,0.0,0.0,2.2949648100553547e-05,0.0,0.0,2.2949648100553547e-05,0.0,3.8861789363919884e-05,0.0,0.0,3.8861789363919884e-05,0.0,0.0,0.0
MS141005QE_Bruno_Lyden_MPNST,,,,,0.0,0.0,0.0,0.0,0.0,8.43961218834643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS141005QE_Bruno_Lyden_MPNST_repeat,,,,,0.0,0.0,0.0,0.0,0.0,6.707706409387343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS141031QE_Bruno_Lyden_H2228,,,,,8.010624427802982e-05,0.000169710585595116,0.0,0.0,0.0,1.8460600472952116e-05,0.0,0.00010374220185391139,0.0,8.010624427802982e-05,0.0,0.00016056750321254398,0.00024067374749057378,2.3622377780278336e-06,0.000169710585595116,0.00010374220185391139,0.00010374220185391139,0.000169710585595116,2.3622377780278336e-06,0.0,0.0
MS141031QE_Bruno_Lyden_H358,,,,,0.0,0.0,0.0,0.0,0.0,3.4544704453197397e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS141032QE_Bruno_Lyden_UVEALmelanoma,,,,,2.380255460991914e-05,8.88596829487609e-06,0.0,0.0,0.0,7.470988796538405e-06,0.0,4.6662789625346664e-05,0.0,2.380255460991914e-05,0.0,0.0001470413963925563,0.00017084395100247545,2.52035278497892e-05,8.88596829487609e-06,4.6662789625346664e-05,4.6662789625346664e-05,8.88596829487609e-06,2.52035278497892e-05,0.0,0.0
MS141056QE_Hector_Lyden_10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0620649317324415e-05,2.7109635528940357e-05,4.773028484626477e-05,4.938535029803315e-06,0.0,0.0,0.0,0.0,4.938535029803315e-06,0.0,0.0
MS141056QE_Hector_Lyden_2,,,,,5.3882072698590126e-05,3.323903478174928e-05,0.0,0.0,0.0,0.0,0.0,1.7716170946967124e-05,0.0,5.3882072698590126e-05,3.0616945344708255e-05,0.00010931339432677538,0.00019381241237007376,1.6883967562686656e-05,3.323903478174928e-05,1.7716170946967124e-05,1.7716170946967124e-05,3.323903478174928e-05,1.6883967562686656e-05,0.0,0.0
MS141056QE_Hector_Lyden_5,,,,,4.366704152135485e-06,5.3000171439674415e-05,0.0,0.0,0.0,2.3267029260843964e-05,0.0,0.0,0.0,4.366704152135485e-06,2.9572260344236916e-05,3.244237488369238e-05,6.638133938006478e-05,1.4477191401753896e-05,5.3000171439674415e-05,0.0,0.0,5.3000171439674415e-05,1.4477191401753896e-05,0.0,0.0
MS141056QE_Hector_Lyden_7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.126947942364804e-06,4.126947942364804e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS141056QE_Hector_Lyden_9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61156108208695e-05,0.0,0.0,0.0,1.560373190149998e-05,1.560373190149998e-05,0.0,0.0,2.61156108208695e-05,2.61156108208695e-05,0.0,0.0,0.0,0.0
MS141070QE_Bruno_Lyden_M2,,,,,2.9583204265461087e-05,0.0,0.0,0.0,0.0,3.379249576223167e-05,0.0,0.0,0.0,2.9583204265461087e-05,0.0,8.955660357810587e-05,0.00011913980784356696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
